label,id,confusable_char,confusable_unicode
’i’,\u2019\u0069\u2019,"ʼiʼ,ˈiˈ,՚i՚,＇i＇,'i'","\u02bc\u0069\u02bc,\u02c8\u0069\u02c8,\u055a\u0069\u055a,\uff07\u0069\uff07,\u0027\u0069\u0027"
’o,\u2019\u006f,"ʼo,՚o,＇o,ˈo,'o, ̕o, ̔o, ̒o","\u02bc\u006f,\u055a\u006f,\uff07\u006f,\u02c8\u006f,\u0027\u006f,\u0315\u006f,\u0314\u006f,\u0312\u006f"
’o’,\u2019\u006f\u2019," ̒o ̒, ̔o ̔,ʼoʼ,ˈoˈ,՚o՚,＇o＇,'o'","\u0312\u006f\u0312,\u0314\u006f\u0314,\u02bc\u006f\u02bc,\u02c8\u006f\u02c8,\u055a\u006f\u055a,\uff07\u006f\uff07,\u0027\u006f\u0027"
’oo,\u2019\u006f\u006f," ̕oo, ̒oo, ̔oo,ʼoo,ˈoo,՚oo,＇oo,'oo","\u0315\u006f\u006f,\u0312\u006f\u006f,\u0314\u006f\u006f,\u02bc\u006f\u006f,\u02c8\u006f\u006f,\u055a\u006f\u006f,\uff07\u006f\u006f,\u0027\u006f\u006f"
’oo’,\u2019\u006f\u006f\u2019," ̕oo ̕, ̒oo ̒, ̔oo ̔,ʼooʼ,ˈooˈ,՚oo՚,＇oo＇,'oo'","\u0315\u006f\u006f\u0315,\u0312\u006f\u006f\u0312,\u0314\u006f\u006f\u0314,\u02bc\u006f\u006f\u02bc,\u02c8\u006f\u006f\u02c8,\u055a\u006f\u006f\u055a,\uff07\u006f\u006f\uff07,\u0027\u006f\u006f\u0027"
’u,\u2019\u0075,"＇u, ̔u, ̒u,ʼu,̓ ̕u,՚u,ˈu,'u","\uff07\u0075,\u0314\u0075,\u0312\u0075,\u02bc\u0075,\u0313\u0315\u0075,\u055a\u0075,\u02c8\u0075,\u0027\u0075"
’u’,\u2019\u0075\u2019," ̕u ̕, ̒u ̒, ̔u ̔,ʼuʼ,ˈuˈ,՚u՚,＇u＇,'u'","\u0315\u0075\u0315,\u0312\u0075\u0312,\u0314\u0075\u0314,\u02bc\u0075\u02bc,\u02c8\u0075\u02c8,\u055a\u0075\u055a,\uff07\u0075\uff07,\u0027\u0075\u0027"
ˈ,\u02c8," ̒,̓ ̕, ̔,’,՚,ʼ","\u0312,\u0313\u0315,\u0314,\u2019,\u055a,\u02bc"
ˈl,\u02c8\u006c," ̕l, ̒l, ̔l,ʼl,’l,՚l","\u0315\u006c,\u0312\u006c,\u0314\u006c,\u02bc\u006c,\u2019\u006c,\u055a\u006c"
ˈm,\u02c8\u006d," ̕m, ̒m, ̔m,ʼm,’m,՚m","\u0315\u006d,\u0312\u006d,\u0314\u006d,\u02bc\u006d,\u2019\u006d,\u055a\u006d"
ˈn,\u02c8\u006e," ̕n, ̒n, ̔n,ʼn,’n,՚n","\u0315\u006e,\u0312\u006e,\u0314\u006e,\u02bc\u006e,\u2019\u006e,\u055a\u006e"
ˈw,\u02c8\u0077," ̕w, ̒w, ̔w,ʼw,’w,՚w","\u0315\u0077,\u0312\u0077,\u0314\u0077,\u02bc\u0077,\u2019\u0077,\u055a\u0077"
ˈẅ,\u02c8\u1e85," ̕ẅ, ̒ẅ, ̔ẅ,ʼẅ,’ẅ,՚ẅ","\u0315\u1e85,\u0312\u1e85,\u0314\u1e85,\u02bc\u1e85,\u2019\u1e85,\u055a\u1e85"
ˈy,\u02c8\u0079," ̕y, ̒y, ̔y,ʼy,’y,՚y","\u0315\u0079,\u0312\u0079,\u0314\u0079,\u02bc\u0079,\u2019\u0079,\u055a\u0079"
°,\u00b0,,
¢,\u00a2,"￠,ȼ","\uffe0,\u023c"
¢̕,\u00a2\u0315,"¢̓,¢ˈ,¢̒,¢̔,¢ʼ,¢’,¢՚,ȼ̓,ȼˈ,ȼ̒,ȼ̔,ȼʼ,ȼ’,ȼ՚,￠̓,￠ˈ,￠̒,￠̔,￠ʼ,￠’,￠՚","\u00a2\u0313,\u00a2\u02c8,\u00a2\u0312,\u00a2\u0314,\u00a2\u02bc,\u00a2\u2019,\u00a2\u055a,\u023c\u0313,\u023c\u02c8,\u023c\u0312,\u023c\u0314,\u023c\u02bc,\u023c\u2019,\u023c\u055a,\uffe0\u0313,\uffe0\u02c8,\uffe0\u0312,\uffe0\u0314,\uffe0\u02bc,\uffe0\u2019,\uffe0\u055a"
$,\u0024,＄,\uff04
a,\u0061,,
A,\u0041,,
a̓,\u0061\u0313,"aˈ,a̕,a̒,a̔,aʼ,a’,a՚","\u0061\u02c8,\u0061\u0315,\u0061\u0312,\u0061\u0314,\u0061\u02bc,\u0061\u2019,\u0061\u055a"
á,\u00e1,á,\u0061\u0301
Á,\u00c1,Á,\u0041\u0301
á,\u0061\u0301,,
à,\u00e0,,
à,\u0061\u0300,,
â,\u00e2,,
â,\u0061\u0302,,
ǎ,\u01ce,,
ǎ,\u0061\u030c,,
ä,\u00e4,,
ä,\u0061\u0308,,
ä̀,\u00e4\u0300,"ä̀,à̈","\u0061\u0308\u0300,\u0061\u0300\u0308"
ä̂,\u00e4\u0302,"ä̂,â̈","\u0061\u0308\u0302,\u0061\u0302\u0308"
ä̌,\u00e4\u030c,"ä̌,ǎ̈","\u0061\u0308\u030c,\u0061\u030c\u0308"
ą,\u0105,ą,\u0061\u0328
Ą,\u0104,Ą,\u0041\u0328
ą,\u0061\u0328,,
ą́,\u0105\u0301,"ą́,ą́","\u0061\u0301\u0328,\u0061\u0328\u0301"
Ą́,\u0104\u0301,"Ą́,Ą́","\u0041\u0328\u0301,\u0041\u0301\u0328"
ą̀,\u0105\u0300,ą̀,\u0061\u0300\u0328
ą̀,\u0061\u0328\u0300,,
ą̂,\u0105\u0302,ą̂,\u0061\u0302\u0328
ą̂,\u0061\u0328\u0302,,
ą̌,\u0105\u030c,ą̌,\u0061\u030c\u0328
ą̌,\u0061\u0328\u030c,,
ą̈,\u0105\u0308,ą̈,\u0061\u0308\u0328
ą̈,\u0061\u0328\u0308,,
ą̈̀,\u0105\u0308\u0300,"ą̀̈,ą̈̀,ą̈̀","\u0105\u0300\u0308,\u0061\u0328\u0308\u0300,\u0061\u0308\u0328\u0300"
ą̈̂,\u0105\u0308\u0302,"ą̂̈,ą̈̂,ą̈̂","\u0105\u0302\u0308,\u0061\u0328\u0308\u0302,\u0061\u0308\u0328\u0302"
ą̈̌,\u0105\u0308\u030c,"ą̌̈,ą̈̌,ą̈̌","\u0105\u030c\u0308,\u0061\u0328\u0308\u030c,\u0061\u0308\u0328\u030c"
ą̄,\u0105\u0304,"ą̄,ą︥,ą̅,ą︤","\u0061\u0304\u0328,\u0061\ufe25\u0328,\u0061\u0305\u0328,\u0061\ufe24\u0328"
ą̄́,\u0105\u0304\u0301,"ą̄́,ą̅́,ą︤́,ą︥́","\u0061\u0304\u0328\u0301,\u0061\u0305\u0328\u0301,\u0061\ufe24\u0328\u0301,\u0061\ufe25\u0328\u0301"
ą̄̀,\u0105\u0304\u0300,"ą︥̀,ą̅̀,ą̄̀,ą︤̀","\u0061\ufe25\u0328\u0300,\u0061\u0305\u0328\u0300,\u0061\u0304\u0328\u0300,\u0061\ufe24\u0328\u0300"
ā,\u0101,"ā,a̅,a︤,a︥,a¯,a‾","\u0061\u0304,\u0061\u0305,\u0061\ufe24,\u0061\ufe25,\u0061\u00af,\u0061\u203e"
ā́,\u0101\u0301,"a̅́,a︥́,a︤́,ā́","\u0061\u0305\u0301,\u0061\ufe25\u0301,\u0061\ufe24\u0301,\u0061\u0304\u0301"
